timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706555369876,230,Get Flights,200,OK,Flight 1-3,text,false,"The operation lasted too long: It took 230 milliseconds, but should not have lasted longer than 100 milliseconds.",2147,194,1,6,http://localhost:8000/Flights_REST/Flights?DepartureCity=Paris&ArrivalCity=London&Date=2024/01/26,230,0,0
1706555370036,71,Reserve Order,307,Temporary Redirect,Thread Group 2-5,text,true,,2114,454,5,6,http://localhost:8000/Flights_REST/FlightOrders,71,0,0
1706555370071,82,Delete Flight Order,200,OK,Thread Group 2-3,text,true,,237,234,5,6,http://localhost:8000/Flights_REST/FlightOrders/100,82,0,0
1706555370072,211,Get Orders,200,OK,Thread Group 2-1,text,false,"The operation lasted too long: It took 211 milliseconds, but should not have lasted longer than 100 milliseconds.",3327,192,5,6,http://localhost:8000/Flights_REST/FlightOrders?CustomerName=none&OrderNumber=0&Date=0001/01/01,211,0,0
1706555370073,211,Reserve Order,307,Temporary Redirect,Thread Group 2-2,text,false,"The operation lasted too long: It took 211 milliseconds, but should not have lasted longer than 100 milliseconds.",2114,454,5,6,http://localhost:8000/Flights_REST/FlightOrders,211,0,0
1706555370076,209,Update Flight Order,200,OK,Thread Group 2-4,text,false,"The operation lasted too long: It took 209 milliseconds, but should not have lasted longer than 100 milliseconds.",236,445,5,6,http://localhost:8000/Flights_REST/FlightOrders/1,209,0,0
1706555370107,179,Get Flight By Number,200,OK,Flight 1-3,text,false,"The operation lasted too long: It took 179 milliseconds, but should not have lasted longer than 100 milliseconds.",468,145,1,6,http://localhost:8000/Flights_REST/Flights/10535,179,0,0
1706555370107,180,Get Flight Order,200,OK,Thread Group 2-5,text,false,"The operation lasted too long: It took 180 milliseconds, but should not have lasted longer than 100 milliseconds.",464,146,5,6,http://localhost:8000/Flights_REST/FlightOrders/1,180,0,0
1706555370154,133,Get Orders,200,OK,Thread Group 2-3,text,false,"The operation lasted too long: It took 133 milliseconds, but should not have lasted longer than 100 milliseconds.",3327,192,5,6,http://localhost:8000/Flights_REST/FlightOrders?CustomerName=none&OrderNumber=0&Date=0001/01/01,133,0,0
1706555370283,6,Reserve Order,307,Temporary Redirect,Thread Group 2-1,text,true,,2114,454,5,6,http://localhost:8000/Flights_REST/FlightOrders,6,0,0
